,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10846,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19644331.0,19644331.0,False,,1,,,,2024-03-04T11:42:00.000Z,65055.407965405226,44547429362.76681,108.2426,0.25206204,5.21495419,27.26943883,51.32725911,50.6255003,56.33903992,1277969967412.4568,52.6744,1366163567273.51,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
1,1027,Ethereum,ETH,ethereum,8494,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120133136.73445426,120133136.73445426,True,,2,,,,2024-03-04T11:42:00.000Z,3506.0459213560166,18256921690.143345,57.4066,0.35197749,2.81998504,14.7568261,52.30974892,57.38167433,59.5822876,421192294067.538,17.3604,421192294067.54,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
2,825,Tether USDt,USDT,tether,76750,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,99515227360.76811,102800078701.88501,True,,3,,,,2024-03-04T11:41:00.000Z,1.00068253213238,88464573962.09352,33.3104,-0.01695802,0.0263485,0.07959321,0.08111132,-0.03798802,0.05138263,99583149701.10294,4.1045,102870243058.81,,2024-03-04T11:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-04 18:43:35.912976
3,1839,BNB,BNB,bnb,2081,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149541636.83823958,149541636.83823958,False,,4,,,,2024-03-04T11:41:00.000Z,417.9718795118113,1810987719.684127,9.7271,-0.03846032,1.22317504,6.80453993,38.51141504,31.16949208,82.30769858,62504199014.55172,2.5763,62504199014.55,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
4,5426,Solana,SOL,solana,630,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442942585.16358805,571043642.9980211,True,,5,,,,2024-03-04T11:42:00.000Z,132.09544667723284,3253250385.948909,16.419,0.75213923,2.05513666,30.96222172,34.11898769,33.94593584,120.12743371,58510698639.552414,2.4117,75432265094.02,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
5,52,XRP,XRP,xrp,1237,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-04T11:42:00.000Z,0.6635458391839354,2593908294.963054,7.9757,3.47476397,6.62462045,24.5256211,26.23303609,14.90675999,8.740778,36272090509.52804,1.4948,66354583918.39,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
6,3408,USDC,USDC,usd-coin,17008,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28930539309.145973,28930539309.145973,False,,7,,,,2024-03-04T11:42:00.000Z,1.0000686604726372,7402875639.992842,40.5839,-0.01233246,0.012983,-0.00237507,-0.02116922,-0.02357118,0.01267842,28932525693.64859,1.1925,28932525693.65,,2024-03-04T11:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-04 18:43:35.912976
7,2010,Cardano,ADA,cardano,1086,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35485427964.833,36671429496.447,False,,8,,,,2024-03-04T11:41:00.000Z,0.7808378688654516,1316698376.0599723,36.4,-0.10507138,7.46977712,34.92022053,49.6207492,39.60668145,95.85061314,27708365947.8387,1.1423,35137704098.95,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
8,74,Dogecoin,DOGE,dogecoin,901,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143326206383.70523,143326206383.70523,True,,9,,,,2024-03-04T11:42:00.000Z,0.16235033685612094,5133901804.98015,84.2451,0.81101955,18.7871827,92.09833159,105.74567137,96.2891925,83.57061017,23269057886.704456,0.9591,23269057886.7,,2024-03-04T11:42:00.000Z,,,,,,2024-03-04 18:43:35.912976
9,5805,Avalanche,AVAX,avalanche,674,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377252601.6085633,435942241.6085633,False,,10,,,,2024-03-04T11:41:00.000Z,43.45908761487324,568923643.1016405,-21.6612,0.76815937,1.67916925,18.84002012,21.93946203,17.25102445,97.96549695,16395053866.245422,0.6759,31290543082.71,,2024-03-04T11:41:00.000Z,,,,,,2024-03-04 18:43:35.912976
